,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,63,109,6,3806,167*,36.95,6839,55.65,6,20,447,24,160,11
ODIs,59,54,8,2118,141*,46.04,2017,105.00,6,8,232,46,24,2
T20Is,30,25,6,513,68,27.00,394,130.20,0,3,48,19,28,0
First-class,174,285,32,11352,246,44.86,,,24,61,,,446,22
List A,127,116,14,4040,174,39.60,3901,103.56,9,18,390,105,75,8
T20s,105,93,17,2029,114,26.69,1546,131.24,2,7,164,78,63,11
