,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,47,89,1,2586,189,29.38,5548,46.61,3,17,326,23,50,0
ODIs,169,166,18,6440,237*,43.51,7365,87.44,16,34,656,164,82,0
T20Is,76,74,7,2272,105,33.91,1712,132.71,2,14,200,103,40,0
First-class,109,197,13,6987,227,37.97,13003,53.73,15,36,926,84,116,0
List A,224,219,21,8733,237*,44.10,9996,87.36,26,43,902,218,109,0
T20s,217,212,21,6301,120*,32.98,4902,128.53,4,42,551,270,130,0
