,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,21,29,4,552,63*,22.08,1225,45.06,0,3,77,1,8,0
ODIs,105,49,15,523,53*,15.38,697,75.03,0,1,44,8,25,0
T20Is,37,9,5,23,9,5.75,29,79.31,0,0,0,0,5,0
First-class,70,101,11,2433,128,27.03,5691,42.75,1,14,314,8,18,0
List A,145,81,30,1064,72,20.86,,,0,3,,,33,0
T20s,155,53,24,243,24*,8.37,252,96.42,0,0,20,4,32,0
