,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,28,3,36,23,0,-,-,-,3.83,-,0,0,0
List A,38,1,6,13,1,1/13,1/13,13.00,13.00,6.0,0,0,0
T20s,89,-,-,-,-,-,-,-,-,-,-,-,-
