,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
List A,4,3,90,72,2,2/25,2/25,36.00,4.80,45.0,0,0,0
T20s,15,5,78,104,2,1/18,1/18,52.00,8.00,39.0,0,0,0
