,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,64,49,1339,933,17,3/18,4/83,54.88,4.18,78.7,0,0,0
ODIs,108,36,1046,931,27,3/16,3/16,34.48,5.34,38.7,0,0,0
T20Is,30,17,291,377,17,3/20,3/20,22.17,7.77,17.1,0,0,0
First-class,118,112,5057,3542,67,7/64,8/169,52.86,4.20,75.4,2,1,0
List A,154,64,1988,1784,46,3/16,3/16,38.78,5.38,43.2,0,0,0
T20s,166,52,824,1056,54,4/13,4/13,19.55,7.68,15.2,2,0,0
