,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
T20Is,2,-,-,-,-,-,-,-,-,-,-,-,-
First-class,43,44,1889,965,24,6/52,6/52,40.20,3.06,78.7,0,1,0
List A,53,34,1227,1064,22,3/51,3/51,48.36,5.20,55.7,0,0,0
T20s,62,14,183,235,14,4/17,4/17,16.78,7.70,13.0,1,0,0
