,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,17,31,3186,1992,41,4/60,7/79,48.58,3.75,77.7,2,0,0
ODIs,30,29,1512,1395,39,4/58,4/58,35.76,5.53,38.7,1,0,0
T20Is,33,32,699,898,43,3/18,3/18,20.88,7.70,16.2,0,0,0
First-class,71,121,13711,8207,242,7/30,12/62,33.91,3.59,56.6,11,14,2
List A,78,75,3925,3329,110,4/10,4/10,30.26,5.08,35.6,3,0,0
T20s,128,124,2636,3391,146,6/11,6/11,23.22,7.71,18.0,2,1,0
