,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,39,41,1424,722,11,1/1,2/10,65.63,3.04,129.4,0,0,0
List A,30,17,330,319,2,1/15,1/15,159.50,5.80,165.0,0,0,0
T20s,58,13,174,221,9,5/27,5/27,24.55,7.62,19.3,0,1,0
