,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,31,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,127,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,66,-,-,-,-,-,-,-,-,-,-,-,-
First-class,95,1,12,11,0,-,-,-,5.50,-,0,0,0
List A,198,-,-,-,-,-,-,-,-,-,-,-,-
T20s,243,-,-,-,-,-,-,-,-,-,-,-,-
