,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,4,5,126,83,2,2/41,2/41,41.50,3.95,63.0,0,0,0
List A,15,12,504,468,11,2/35,2/35,42.54,5.57,45.8,0,0,0
T20s,10,8,82,107,3,1/4,1/4,35.66,7.82,27.3,0,0,0
