,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,56,103,8047,4820,184,5/17,9/108,26.19,3.59,43.7,13,6,0
List A,29,28,1143,933,46,5/19,5/19,20.28,4.89,24.8,0,2,0
T20s,37,34,587,709,42,5/11,5/11,16.88,7.24,13.9,2,1,0
