,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,52,89,7328,4054,127,6/22,8/161,31.92,3.31,57.7,5,4,0
ODIs,79,64,2505,2562,63,5/61,5/61,40.66,6.13,39.7,1,1,0
T20Is,23,18,334,496,10,3/26,3/26,49.60,8.91,33.4,0,0,0
First-class,127,199,15101,8719,296,7/67,10/121,29.45,3.46,51.0,14,7,1
List A,150,110,4180,4049,127,5/61,5/61,31.88,5.81,32.9,3,1,0
T20s,115,82,1460,2039,62,4/16,4/16,32.88,8.37,23.5,1,0,0
