,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,1,1,156,101,0,-,-,-,3.88,-,0,0,0
ODIs,7,7,312,209,8,4/41,4/41,26.12,4.01,39.0,1,0,0
T20Is,10,10,208,301,14,3/38,3/38,21.50,8.68,14.8,0,0,0
First-class,76,131,13098,6467,251,7/41,13/103,25.76,2.96,52.1,12,13,2
List A,84,84,4416,3549,116,5/55,5/55,30.59,4.82,38.0,5,1,0
T20s,118,117,2499,3268,147,5/25,5/25,22.23,7.84,17.0,0,2,0
