,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,28,54,5953,3071,131,7/67,11/137,23.44,3.09,45.4,10,5,1
List A,14,13,731,645,21,5/42,5/42,30.71,5.29,34.8,0,1,0
T20s,85,82,1856,2473,108,4/18,4/18,22.89,7.99,17.1,1,0,0
