,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,32,56,6434,2965,116,7/72,10/142,25.56,2.76,55.4,5,7,1
List A,32,31,1639,1307,51,5/28,5/28,25.62,4.78,32.1,4,1,0
T20s,47,47,810,1002,32,4/19,4/19,31.31,7.42,25.3,1,0,0
