,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,1,2,1,8,4*,8.00,28,28.57,0,0,0,0,0,0
ODIs,2,-,-,-,-,-,-,-,-,-,-,-,3,0
T20Is,1,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,69,99,11,2050,120,23.29,4269,48.02,1,13,252,34,24,0
List A,80,62,15,1099,65*,23.38,1236,88.91,0,5,80,37,28,0
T20s,124,87,25,1205,67,19.43,965,124.87,0,2,84,52,33,0
