,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,42,25,12,245,50,18.84,290,84.48,0,1,20,5,19,0
T20Is,27,19,7,166,29*,13.83,126,131.74,0,0,8,10,11,0
First-class,66,93,11,2179,104*,26.57,3398,64.12,2,14,258,54,14,0
List A,121,86,19,1606,167,23.97,1681,95.53,3,5,131,60,42,0
T20s,174,130,25,2559,118,24.37,1820,140.60,2,11,196,134,68,0
