,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,15,12,0,271,62,22.58,298,90.93,0,2,29,2,13,0
T20Is,21,18,0,314,87,17.44,221,142.08,0,2,30,11,13,1
First-class,64,95,10,2792,171,32.84,4745,58.84,3,14,398,8,164,11
List A,90,80,13,2708,175,40.41,2569,105.41,6,18,280,47,82,8
T20s,159,148,20,3030,95*,23.67,2310,131.16,0,17,259,90,93,14
