,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,4,7,3,15,5,3.75,35,42.85,0,0,3,0,2,0
ODIs,18,7,5,40,19*,20.00,55,72.72,0,0,4,1,5,0
T20Is,7,2,1,6,4,6.00,9,66.66,0,0,0,0,1,0
First-class,13,15,8,36,12*,5.14,85,42.35,0,0,5,0,7,0
List A,41,16,11,76,19*,15.20,97,78.35,0,0,8,1,9,0
T20s,50,4,3,8,4,8.00,10,80.00,0,0,0,0,10,0
