,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,59,109,3,3731,176,35.19,7094,52.59,4,24,483,31,45,0
ODIs,190,169,27,5757,185*,40.54,6365,90.44,9,33,570,131,64,0
T20Is,58,56,6,1462,124*,29.24,1006,145.32,1,10,115,83,20,0
First-class,137,241,19,9451,203*,42.57,,,20,54,,,109,0
List A,265,241,36,7915,185*,38.60,9187,86.15,11,46,,,88,0
T20s,301,293,33,7828,124*,30.10,5621,139.26,6,45,681,414,87,0
