,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,28,43,7,1873,145,52.02,3997,46.86,4,11,211,17,19,0
List A,34,33,3,1032,103*,34.40,1379,74.83,1,9,114,13,20,0
T20s,27,24,4,605,84,30.25,493,122.71,0,5,51,24,14,0
