,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,68,117,10,3924,222,36.67,8013,48.97,8,23,554,20,238,18
List A,57,51,10,1129,83,27.53,1360,83.01,0,6,120,17,93,12
T20s,91,82,15,1730,79,25.82,1322,130.86,0,8,186,52,40,16
