,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,9,14,1,374,127,28.76,631,59.27,1,2,42,3,7,0
List A,13,10,3,277,96*,39.57,233,118.88,0,2,18,16,7,0
T20s,10,8,4,118,47*,29.50,82,143.90,0,0,7,6,4,0
