,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,4,2,0,53,27,26.50,67,79.10,0,0,4,1,1,0
T20Is,7,5,1,40,29,10.00,27,148.14,0,0,2,3,5,0
First-class,51,75,9,1561,109,23.65,2069,75.44,1,7,162,53,15,0
List A,68,54,12,843,98*,20.07,748,112.70,0,2,54,50,21,0
T20s,128,103,26,1661,81*,21.57,1098,151.27,0,3,91,112,56,0
