,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
List A,4,3,0,18,8,6.00,43,41.86,0,0,0,0,2,1
T20s,6,6,0,92,54,15.33,48,191.66,0,1,11,5,3,2
