,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,120,106,31,2922,139,38.96,2897,100.86,5,12,219,82,59,0
T20Is,70,61,18,1291,101*,30.02,920,140.32,1,2,91,56,49,1
First-class,63,99,7,3342,177,36.32,5782,57.80,6,19,459,42,73,0
List A,219,193,48,5847,139,40.32,5853,99.89,9,33,452,165,101,0
T20s,286,259,81,6311,120*,35.45,4531,139.28,3,29,466,273,183,1
