,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,11,17,1,535,155,33.43,830,64.45,1,2,66,10,6,0
List A,12,11,4,257,100,36.71,267,96.25,1,0,33,3,5,0
T20s,51,40,14,618,67,23.76,444,139.18,0,2,62,18,18,0
