,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,65,93,12,2361,124,29.14,4308,54.80,4,11,266,14,23,0
ODIs,111,61,19,675,65,16.07,776,86.98,0,1,59,6,30,0
T20Is,46,11,7,123,31*,30.75,115,106.95,0,0,14,1,8,0
First-class,109,149,26,3791,124,30.82,6738,56.26,6,19,472,17,43,0
List A,167,98,26,1305,79,18.12,1684,77.49,0,4,103,12,48,0
T20s,219,77,30,625,46,13.29,550,113.63,0,0,58,14,52,0
