,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,9,16,2,454,78,32.42,773,58.73,0,3,47,14,0,0
ODIs,2,2,0,17,15,8.50,29,58.62,0,0,1,1,0,0
First-class,51,78,10,1952,96,28.70,3364,58.02,0,14,269,28,13,0
List A,51,34,5,597,57,20.58,709,84.20,0,1,57,7,20,0
T20s,48,36,6,478,50,15.93,402,118.90,0,1,39,16,11,0
