,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,2,4,0,8,8,2.00,27,29.62,0,0,2,0,1,0
List A,3,2,1,61,53*,61.00,36,169.44,0,1,1,6,0,0
T20s,3,2,0,3,3,1.50,7,42.85,0,0,0,0,2,0
