,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,7,7,3,57,19,14.25,48,118.75,0,0,5,2,1,0
T20Is,26,11,5,61,20,10.16,55,110.90,0,0,4,3,8,0
First-class,9,10,0,52,10,5.20,112,46.42,0,0,4,2,1,0
List A,38,25,10,221,28*,14.73,190,116.31,0,0,13,13,9,0
T20s,125,49,18,351,42,11.32,298,117.78,0,0,22,19,34,0
