,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,1,2,0,18,15,9.00,17,105.88,0,0,2,1,0,0
ODIs,28,12,6,41,15,6.83,45,91.11,0,0,5,1,3,0
T20Is,9,2,2,0,0*,-,0,-,0,0,0,0,3,0
First-class,1,2,0,18,15,9.00,17,105.88,0,0,2,1,0,0
List A,35,14,8,45,15,7.50,47,95.74,0,0,6,1,4,0
T20s,61,17,10,78,27,11.14,77,101.29,0,0,8,2,11,0
