,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
ODIs,1,1,0,0,0,0.00,4,0.00,0,0,0,0,1,0
T20Is,11,11,2,218,58,24.22,155,140.64,0,2,17,12,4,0
First-class,3,6,0,143,55,23.83,244,58.60,0,1,16,6,2,2
List A,19,18,3,492,89,32.80,,,0,3,,,12,0
T20s,96,90,12,1776,81,22.76,1241,143.11,0,9,117,120,51,9
