,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,40,56,17,433,51*,11.10,582,74.39,0,1,45,16,9,0
ODIs,63,29,14,131,25,8.73,152,86.18,0,0,10,6,21,0
T20Is,7,-,-,-,-,-,-,-,-,-,-,-,0,0
First-class,63,88,26,732,51*,11.80,1101,66.48,0,1,74,25,15,0
List A,94,52,18,311,26,9.14,326,95.39,0,0,26,15,34,0
T20s,69,21,9,65,21,5.41,66,98.48,0,0,6,2,15,0
