,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,34,56,2,1905,199,35.27,3282,58.04,5,11,225,14,43,0
ODIs,14,13,3,343,100*,34.30,424,80.89,1,2,26,5,7,0
T20Is,27,24,4,879,110*,43.95,589,149.23,2,5,76,41,8,0
First-class,75,125,5,5675,337,47.29,10009,56.69,14,29,712,46,80,0
List A,55,54,6,1755,110,36.56,2382,73.67,4,10,141,28,32,4
T20s,98,86,15,2679,110*,37.73,1935,138.44,2,19,237,109,42,5
