,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,1,1,234,105,1,1/105,1/105,105.00,2.69,234.0,0,0,0
List A,9,9,520,367,22,5/38,5/38,16.68,4.23,23.6,0,1,0
T20s,1,1,18,35,1,1/35,1/35,35.00,11.66,18.0,0,0,0
