,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,4,4,330,164,2,1/48,1/48,82.00,2.98,165.0,0,0,0
ODIs,11,10,354,306,7,3/32,3/32,43.71,5.18,50.5,0,0,0
T20Is,11,7,102,158,4,2/35,2/35,39.50,9.29,25.5,0,0,0
First-class,92,113,6711,3472,112,5/17,6/94,31.00,3.10,59.9,4,2,0
List A,98,86,3374,2899,77,4/17,4/17,37.64,5.15,43.8,2,0,0
T20s,191,146,2366,3281,108,3/11,3/11,30.37,8.32,21.9,0,0,0
