,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,6,7,2,40,22*,8.00,92,43.47,0,0,4,1,2,0
ODIs,65,45,12,363,36,11.00,441,82.31,0,0,36,12,14,0
T20Is,48,20,8,147,30,12.25,116,126.72,0,0,13,5,7,0
First-class,13,18,6,213,40*,17.75,,,0,0,,,10,0
List A,96,67,16,606,51,11.88,,,0,1,,,22,0
T20s,319,176,39,2060,79,15.03,1394,147.77,0,6,197,122,68,0
