,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,3,5,1,181,69,45.25,284,63.73,0,3,12,7,0,0
ODIs,33,29,2,389,50,14.40,452,86.06,0,1,24,15,10,0
T20Is,38,25,6,291,37*,15.31,243,119.75,0,0,13,21,19,0
First-class,39,64,9,1522,109,27.67,,,1,9,,,20,0
List A,77,66,10,1147,113,20.48,,,1,4,,,28,0
T20s,143,106,24,1391,64*,16.96,959,145.04,0,1,83,98,57,0
