,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,55,73,9,1598,104,24.96,3138,50.92,2,6,183,20,23,0
List A,46,40,12,723,72*,25.82,892,81.05,0,4,62,15,10,0
T20s,29,24,6,181,42,10.05,152,119.07,0,0,12,6,12,0
