,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,6,10,1,194,78,21.55,333,58.25,0,1,23,1,4,0
ODIs,14,11,3,230,77,28.75,246,93.49,0,1,23,5,3,0
T20Is,3,2,0,35,24,17.50,29,120.68,0,0,2,1,0,0
First-class,88,134,5,4332,189,33.58,6413,67.55,10,19,,,32,0
List A,90,75,14,1360,77,22.29,1538,88.42,0,7,,,23,0
T20s,132,101,29,1371,49,19.04,1099,124.74,0,0,99,51,33,0
