,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,23,38,3,1269,133,36.25,2844,44.62,2,8,176,12,9,0
List A,19,19,3,683,81,42.68,827,82.58,0,7,59,18,5,0
T20s,26,26,4,612,78*,27.81,510,120.00,0,3,57,15,13,0
