,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,9,17,1381,681,30,4/51,6/69,22.70,2.95,46.0,3,0,0
List A,13,13,637,437,19,4/32,4/32,23.00,4.11,33.5,2,0,0
T20s,10,10,186,242,5,2/17,2/17,48.40,7.80,37.2,0,0,0
