,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,12,23,2439,1392,49,5/59,9/148,28.40,3.42,49.7,3,5,0
List A,22,22,1160,951,38,5/29,5/29,25.02,4.91,30.5,0,1,0
T20s,15,14,295,354,16,3/13,3/13,22.12,7.20,18.4,0,0,0
