,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,101,70,2044,1956,50,3/27,3/27,39.12,5.74,40.8,0,0,0
T20Is,59,38,510,710,23,3/30,3/30,30.86,8.35,22.1,0,0,0
First-class,27,24,811,436,14,5/36,5/40,31.14,3.22,57.9,0,1,0
List A,138,92,2655,2447,85,4/32,4/32,28.78,5.52,31.2,1,0,0
T20s,462,303,4700,6411,261,4/15,4/15,24.56,8.18,18.0,5,0,0
