,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,48,45,2336,2313,82,5/58,5/58,28.20,5.94,28.4,6,1,0
T20Is,29,29,608,789,30,3/17,3/17,26.30,7.78,20.2,0,0,0
First-class,38,71,7353,4360,117,8/23,9/81,37.26,3.55,62.8,3,3,0
List A,99,94,4793,4551,180,6/41,6/41,25.28,5.69,26.6,12,3,0
T20s,178,174,3799,5365,219,5/29,5/29,24.49,8.47,17.3,2,1,0
