,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,28,48,4083,2196,61,5/50,5/90,36.00,3.22,66.9,2,2,0
List A,28,28,1397,1092,50,6/33,6/33,21.84,4.69,27.9,1,1,0
T20s,30,29,620,762,44,4/12,4/12,17.31,7.37,14.0,5,0,0
