,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,10,20,2416,1073,49,6/33,9/86,21.89,2.66,49.3,0,3,0
ODIs,49,49,2505,1883,85,5/27,5/27,22.15,4.51,29.4,4,1,0
T20Is,42,42,919,1029,51,3/11,3/11,20.17,6.71,18.0,0,0,0
First-class,36,62,7430,3328,138,6/29,9/86,24.11,2.68,53.8,3,9,0
List A,74,74,3860,2784,137,5/27,5/27,20.32,4.32,28.1,7,2,0
T20s,136,136,3024,3606,159,3/7,3/7,22.67,7.15,19.0,0,0,0
