,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,11,19,937,528,17,5/28,6/50,31.05,3.38,55.1,0,1,0
ODIs,45,44,1894,1748,44,3/31,3/31,39.72,5.53,43.0,0,0,0
T20Is,38,37,665,922,36,4/38,4/38,25.61,8.31,18.4,1,0,0
First-class,29,39,2694,1486,48,5/28,8/91,30.95,3.30,56.1,0,3,0
List A,66,58,2644,2351,60,3/26,3/26,39.18,5.33,44.0,0,0,0
T20s,122,114,1909,2585,94,4/38,4/38,27.50,8.12,20.3,1,0,0
