,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,6,6,302,269,7,3/56,3/56,38.42,5.34,43.1,0,0,0
T20Is,2,2,48,41,6,4/10,4/10,6.83,5.12,8.0,1,0,0
First-class,17,26,2903,1739,47,6/61,7/93,37.00,3.59,61.7,2,2,0
List A,23,23,1137,1183,35,4/22,4/22,33.80,6.24,32.4,2,0,0
T20s,42,42,867,1175,43,4/10,4/10,27.32,8.13,20.1,1,0,0
