,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,40,1,24,14,0,-,-,-,3.50,-,0,0,0
List A,45,-,-,-,-,-,-,-,-,-,-,-,-
T20s,64,-,-,-,-,-,-,-,-,-,-,-,-
