,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
ODIs,5,5,278,227,4,2/39,2/39,56.75,4.89,69.5,0,0,0
T20Is,7,6,96,117,7,4/21,4/21,16.71,7.31,13.7,1,0,0
First-class,31,54,5731,3006,126,9/37,14/89,23.85,3.14,45.4,10,6,2
List A,42,42,2012,1627,53,5/27,5/27,30.69,4.85,37.9,1,1,0
T20s,56,54,1190,1401,69,4/21,4/21,20.30,7.06,17.2,2,0,0
