,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,30,59,5209,3349,101,5/50,9/210,33.15,3.85,51.5,7,3,0
ODIs,218,212,10508,9349,322,6/38,6/38,29.03,5.33,32.6,10,8,0
T20Is,73,73,1571,1911,97,5/31,5/31,19.70,7.29,16.1,1,1,0
First-class,84,,11927,7784,257,6/17,,30.28,3.91,46.4,16,7,0
List A,279,,13337,11744,422,6/38,6/38,27.82,5.28,31.6,14,9,0
T20s,273,268,6029,6968,362,6/7,6/7,19.24,6.93,16.6,8,4,0
