,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,72,50,1154,550,24,4/47,4/47,22.91,2.85,48.0,1,0,0
List A,77,16,418,360,6,2/20,2/20,60.00,5.16,69.6,0,0,0
T20s,127,10,132,140,6,2/11,2/11,23.33,6.36,22.0,0,0,0
