,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,27,10,334,202,2,1/26,1/35,101.00,3.62,167.0,0,0,0
ODIs,206,38,593,515,8,2/27,2/27,64.37,5.21,74.1,0,0,0
T20Is,94,9,68,113,1,1/22,1/22,113.00,9.97,68.0,0,0,0
First-class,87,64,2104,1132,24,4/41,5/85,47.16,3.22,87.6,1,0,0
List A,277,70,1367,1162,30,4/28,4/28,38.73,5.10,45.5,1,0,0
T20s,302,57,628,817,29,4/6,4/6,28.17,7.80,21.6,1,0,0
