,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,6,2,12,11,0,-,-,-,5.50,-,0,0,0
ODIs,2,-,-,-,-,-,-,-,-,-,-,-,-
First-class,69,51,1182,648,13,2/11,2/35,49.84,3.28,90.9,0,0,0
List A,69,23,624,508,12,2/16,2/16,42.33,4.88,52.0,0,0,0
T20s,115,7,54,64,2,1/3,1/3,32.00,7.11,27.0,0,0,0
