,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,2,3,0,195,77,65.00,375,52.00,0,2,19,5,3,0
First-class,50,85,6,3964,304*,50.17,6517,60.82,8,23,514,43,30,0
List A,75,75,1,3605,176,48.71,3579,100.72,12,14,448,63,28,0
T20s,127,122,9,2791,111,24.69,2131,130.97,1,18,275,98,45,0
