,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,28,12,406,239,2,2/47,2/47,119.50,3.53,203.0,0,0,0
List A,34,8,95,88,3,1/1,1/1,29.33,5.55,31.6,0,0,0
T20s,27,-,-,-,-,-,-,-,-,-,-,-,-
