,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
Tests,13,25,0,754,93,30.16,996,75.70,0,5,74,27,6,0
ODIs,25,24,2,899,127,40.86,815,110.30,4,2,62,36,13,0
T20Is,11,9,0,109,26,12.11,92,118.47,0,0,13,4,2,0
First-class,34,62,3,1989,107,33.71,2560,77.69,1,12,253,49,27,0
List A,41,40,3,1407,127,38.02,1392,101.07,5,5,106,54,25,0
T20s,28,26,1,564,100,22.56,418,134.92,1,2,52,29,9,0
