,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St
First-class,37,60,9,2539,261,49.78,4223,60.12,8,10,334,24,23,0
List A,51,47,12,1417,78*,40.48,1829,77.47,0,13,141,13,17,0
T20s,47,41,9,882,58,27.56,810,108.88,0,3,93,10,17,0
