,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,47,18,428,298,8,3/11,3/11,37.25,4.17,53.5,0,0,0
ODIs,169,11,109,98,4,2/6,2/6,24.50,5.39,27.2,0,0,0
T20Is,76,1,6,11,0,-,-,-,11.00,-,0,0,0
First-class,109,34,842,670,11,3/11,3/11,60.90,4.77,76.5,0,0,0
List A,224,12,115,105,5,2/6,2/6,21.00,5.47,23.0,0,0,0
T20s,217,2,12,19,0,-,-,-,9.50,-,0,0,0
