,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
Tests,63,-,-,-,-,-,-,-,-,-,-,-,-
ODIs,59,-,-,-,-,-,-,-,-,-,-,-,-
T20Is,30,-,-,-,-,-,-,-,-,-,-,-,-
First-class,174,1,6,1,0,-,-,-,1.00,-,0,0,0
List A,127,-,-,-,-,-,-,-,-,-,-,-,-
T20s,101,-,-,-,-,-,-,-,-,-,-,-,-
