,Mat,Inns,Balls,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4w,5w,10
First-class,38,34,1457,702,19,5/31,7/74,36.94,2.89,76.6,0,2,0
List A,54,31,998,726,31,5/55,5/55,23.41,4.36,32.1,0,1,0
T20s,97,35,451,573,12,3/23,3/23,47.75,7.62,37.5,0,0,0
